epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.696,1.5995,3.06464,1.08154,0.01497,0.84488,0.12554,0.06596,1.41862,3.1885,0.95928,0.00024,0.00024,0.00024
2,20.2459,1.29001,1.21549,0.94614,0.01573,0.88779,0.08988,0.05294,1.43022,3.08434,0.95872,0.0004901,0.0004901,0.0004901
3,25.5101,1.09249,0.97408,0.92855,0.01643,0.92739,0.38332,0.26811,1.19095,2.92389,0.901,0.000729904,0.000729904,0.000729904
4,30.5567,1.04997,0.89407,0.91771,0.01064,0.60066,0.01717,0.00828,1.13828,3.30221,0.92996,0.000959412,0.000959412,0.000959412
5,35.3859,0.98188,0.81733,0.89517,0.01684,0.9505,0.39676,0.29577,1.00181,2.84685,0.88859,0.00117862,0.00117862,0.00117862
6,40.4739,0.94695,0.79158,0.89764,1,0.27049,0.89567,0.63398,0.9347,2.48443,0.87375,0.00138754,0.00138754,0.00138754
7,45.7001,0.92767,0.75673,0.88816,1,0.5318,0.94968,0.71368,0.86004,2.0219,0.86044,0.00158616,0.00158616,0.00158616
8,50.8479,0.91417,0.75551,0.88589,0.98911,0.89964,0.98974,0.70363,0.9934,1.58775,0.88382,0.0017228,0.0017228,0.0017228
9,55.6637,0.91091,0.72618,0.87196,0.98285,0.9458,0.98928,0.78177,0.77029,1.32033,0.84713,0.0016832,0.0016832,0.0016832
10,60.9401,0.89456,0.71199,0.87112,0.9591,0.92877,0.9873,0.78204,0.7967,0.904,0.85368,0.0016436,0.0016436,0.0016436
11,65.9832,0.86306,0.6661,0.87328,0.97968,0.95459,0.99341,0.81962,0.74826,0.82202,0.85028,0.001604,0.001604,0.001604
12,71.369,0.83116,0.65411,0.86145,0.9488,0.97848,0.9925,0.81974,0.72215,0.63501,0.83471,0.0015644,0.0015644,0.0015644
13,76.3826,0.79998,0.61606,0.85432,0.98208,0.9769,0.99412,0.81538,0.71077,0.65261,0.83666,0.0015248,0.0015248,0.0015248
14,82.3021,0.77605,0.60475,0.85828,0.97577,0.9835,0.99386,0.82645,0.67495,0.62498,0.83777,0.0014852,0.0014852,0.0014852
15,88.2984,0.81615,0.61371,0.85135,0.98668,0.9901,0.9947,0.81842,0.6822,0.55294,0.82528,0.0014456,0.0014456,0.0014456
16,94.5188,0.77349,0.59565,0.84865,0.98299,0.9967,0.99443,0.83838,0.62678,0.50509,0.82112,0.001406,0.001406,0.001406
17,100.1,0.72472,0.57078,0.84499,0.99521,0.9868,0.9949,0.85708,0.58999,0.4812,0.80953,0.0013664,0.0013664,0.0013664
18,105.363,0.71278,0.554,0.84596,0.99498,0.9802,0.99461,0.84935,0.57656,0.47253,0.80848,0.0013268,0.0013268,0.0013268
19,110.595,0.71408,0.53987,0.85085,0.99019,0.99888,0.9948,0.86045,0.58403,0.45736,0.80931,0.0012872,0.0012872,0.0012872
20,116.66,0.70292,0.53501,0.8442,0.99807,1,0.995,0.85516,0.58313,0.45802,0.81425,0.0012476,0.0012476,0.0012476
21,122.749,0.69033,0.51811,0.83493,0.99515,1,0.995,0.8655,0.57001,0.45243,0.80982,0.001208,0.001208,0.001208
22,129.685,0.68317,0.51162,0.83456,1,0.9988,0.995,0.8558,0.58669,0.45506,0.80869,0.0011684,0.0011684,0.0011684
23,134.806,0.65727,0.49422,0.83408,0.99867,0.9967,0.995,0.85171,0.58084,0.43929,0.80808,0.0011288,0.0011288,0.0011288
24,140.353,0.63322,0.47758,0.83051,0.99838,1,0.995,0.86902,0.54564,0.42118,0.80487,0.0010892,0.0010892,0.0010892
25,146.929,0.63831,0.4831,0.8342,0.99505,1,0.99497,0.87948,0.51819,0.41118,0.80109,0.0010496,0.0010496,0.0010496
26,151.985,0.60696,0.47183,0.8255,0.99559,1,0.995,0.87985,0.51349,0.41111,0.79826,0.00101,0.00101,0.00101
27,158.115,0.62195,0.47005,0.82224,0.9933,1,0.995,0.87205,0.5249,0.4031,0.80207,0.0009704,0.0009704,0.0009704
28,163.673,0.63424,0.47113,0.82533,0.99438,0.9967,0.99493,0.87461,0.53162,0.41248,0.80341,0.0009308,0.0009308,0.0009308
